Date,C5TC,C2,C3,C5,C7,C8,C9,C10,C14,C16,C17
2015-08-06,19673.0,,,,,,,,,,
2015-08-07,19482.0,,,,,,,,,,
2015-08-10,19268.0,,,,,,,,,,
2015-08-11,17870.0,,,,,,,,,,
2015-08-12,15266.0,,,,,,,,,,
2015-08-13,13526.0,,,,,,,,,,
2015-08-14,13760.0,,,,,,,,,,
2015-08-17,14024.0,,,,,,,,,,
2015-08-18,13394.0,,,,,,,,,,
2015-08-19,12770.0,,,,,,,,,,
2015-08-20,11977.0,,,,,,,,,,
2015-08-21,11109.0,,,,,,,,,,
2015-08-24,10085.0,,,,,,,,,,
2015-08-25,9141.0,,,,,,,,,,
2015-08-26,8333.0,,,,,,,,,,
2015-08-27,8114.0,,,,,,,,,,
2015-08-28,8288.0,,,,,,,,,,
2015-09-01,8950.0,,,,,,,,,,
2015-09-02,9199.0,,,,,,,,,,
2015-09-03,9129.0,,,,,,,,,,
2015-09-04,8871.0,,,,,,,,,,
2015-09-07,9316.0,,,,,,,,,,
2015-09-08,9500.0,,,,,,,,,,
2015-09-09,9172.0,,,,,,,,,,
2015-09-10,8662.0,,,,,,,,,,
2015-09-11,8614.0,,,,,,,,,,
2015-09-14,8509.0,,,,,,,,,,
2015-09-15,8608.0,,,,,,,,,,
2015-09-16,9249.0,,,,,,,,,,
2015-09-17,11876.0,,,,,,,,,,
2015-09-18,14658.0,,,,,,,,,,
2015-09-21,15295.0,,,,,,,,,,
2015-09-22,13432.0,,,,,,,,,,
2015-09-23,13401.0,,,,,,,,,,
2015-09-24,13747.0,,,,,,,,,,
2015-09-25,14672.0,,,,,,,,,,
2015-09-28,14916.0,,,,,,,,,,
2015-09-29,14534.0,,,,,,,,,,
2015-09-30,13832.0,,,,,,,,,,
2015-10-01,13586.0,,,,,,,,,,
2015-10-02,13734.0,,,,,,,,,,
2015-10-05,13511.0,,,,,,,,,,
2015-10-06,13213.0,,,,,,,,,,
