Date,P5TC,P1A,P2A,P3A,P4,P5,P6,P7,P8
2018-10-22,15660.0,17165.0,24308.0,14316.0,5976.0,14453.0,15870.0,,
2018-10-23,15254.0,16620.0,23805.0,13931.0,5897.0,14242.0,15487.0,,
2018-10-24,14894.0,16190.0,23337.0,13487.0,5809.0,13869.0,15202.0,,
2018-10-25,14460.0,15640.0,22763.0,12981.0,5717.0,13578.0,14855.0,,
2018-10-26,14161.0,15185.0,22290.0,12697.0,5683.0,13300.0,14645.0,,
2018-10-29,13918.0,14850.0,21915.0,12510.0,5651.0,13056.0,14403.0,,
2018-10-30,13765.0,14550.0,21685.0,12453.0,5634.0,12778.0,14275.0,,
2018-10-31,13745.0,14440.0,21555.0,12516.0,5638.0,12533.0,14290.0,,
2018-11-01,13800.0,14370.0,21530.0,12676.0,5636.0,12344.0,14406.0,,
2018-11-02,13865.0,14385.0,21557.0,12763.0,5636.0,12233.0,14530.0,,
2018-11-05,13881.0,14380.0,21631.0,12754.0,5622.0,12178.0,14573.0,,
2018-11-06,13825.0,14340.0,21611.0,12669.0,5604.0,,14505.0,,
2018-11-07,13629.0,14145.0,21450.0,12349.0,5574.0,12000.0,14343.0,,
2018-11-08,13483.0,14165.0,21380.0,11913.0,5472.0,11678.0,14261.0,,
2018-11-09,13418.0,14405.0,21427.0,11559.0,5419.0,11122.0,14140.0,,
2018-11-12,13384.0,14570.0,21464.0,11362.0,5334.0,10811.0,14070.0,,
2018-11-13,13348.0,14760.0,21505.0,11202.0,5297.0,10700.0,13925.0,,
2018-11-14,13219.0,14795.0,21432.0,11007.0,5208.0,10550.0,13680.0,,
2018-11-15,13003.0,14740.0,21291.0,10774.0,5126.0,10233.0,13275.0,,
2018-11-16,12731.0,14670.0,21167.0,10578.0,5084.0,9656.0,12645.0,,
2018-11-19,12549.0,14475.0,21024.0,10409.0,5043.0,9422.0,12405.0,,
2018-11-20,12350.0,14240.0,20891.0,10207.0,4978.0,9122.0,12170.0,,
2018-11-21,12180.0,14095.0,20706.0,9959.0,4832.0,8883.0,12043.0,,
2018-11-22,12051.0,13925.0,20626.0,9770.0,4769.0,8706.0,11958.0,,
2018-11-23,12055.0,13955.0,20639.0,9744.0,4713.0,8613.0,11982.0,,
2018-11-26,12139.0,14060.0,20751.0,9870.0,4761.0,8642.0,12018.0,,
2018-11-27,12368.0,14365.0,21029.0,10208.0,4798.0,8808.0,12140.0,,
2018-11-28,12569.0,14630.0,21418.0,10497.0,4822.0,8936.0,12212.0,,
2018-11-29,12648.0,14720.0,21545.0,10609.0,4837.0,8908.0,12260.0,,
2018-11-30,12682.0,14785.0,21584.0,10638.0,4948.0,8908.0,12245.0,,
2018-12-03,12736.0,14865.0,21655.0,10746.0,4918.0,8997.0,12253.0,,
2018-12-04,12774.0,14900.0,21729.0,10812.0,4912.0,9144.0,12273.0,,
2018-12-05,12762.0,14840.0,21727.0,10830.0,4911.0,9372.0,12270.0,,
2018-12-06,12737.0,14753.0,21754.0,10829.0,4911.0,9600.0,12251.0,,
2018-12-07,12697.0,14665.0,21692.0,10785.0,4907.0,9761.0,12248.0,,
2018-12-10,12650.0,14570.0,21616.0,10740.0,4893.0,9817.0,12238.0,,
2018-12-11,12604.0,14405.0,21448.0,10694.0,4893.0,9883.0,12318.0,,
2018-12-12,12577.0,14300.0,21226.0,10746.0,4893.0,10286.0,12345.0,,
2018-12-13,12719.0,14390.0,21371.0,10999.0,4932.0,10728.0,12472.0,,
2018-12-14,12854.0,14465.0,21600.0,11238.0,4987.0,11250.0,12565.0,,
2018-12-17,12945.0,14490.0,21676.0,11505.0,5011.0,11511.0,12593.0,,
2018-12-18,12987.0,14480.0,21688.0,11688.0,5017.0,11628.0,12580.0,,
2018-12-19,12971.0,14310.0,21725.0,11783.0,5016.0,11633.0,12580.0,,
2018-12-20,12845.0,13920.0,21475.0,11772.0,5016.0,11589.0,12575.0,,
2018-12-21,12606.0,13330.0,20943.0,11702.0,5011.0,11372.0,12510.0,,
2018-12-24,12484.0,13130.0,20655.0,11571.0,4980.0,11289.0,12483.0,,
2019-01-02,12243.0,12745.0,20347.0,11310.0,4939.0,11000.0,12337.0,,
2019-01-03,12052.0,12380.0,20055.0,11173.0,4913.0,10769.0,12222.0,,
2019-01-04,11817.0,11705.0,19707.0,11075.0,4908.0,10733.0,12200.0,,
2019-01-07,11574.0,11190.0,19382.0,10931.0,4907.0,10711.0,12050.0,,
2019-01-08,11250.0,10410.0,18832.0,10835.0,4931.0,10678.0,11875.0,,
2019-01-09,10909.0,9840.0,18159.0,10715.0,4927.0,10461.0,11538.0,,
2019-01-10,10527.0,9110.0,17456.0,10535.0,4909.0,10250.0,11263.0,,
